GT_id,GT_label,Pred_label
3712881,Micropsectra polita,Micropsectra atrofasciata
5027037,Micropsectra polita,Micropsectra atrofasciata
5081122,Coenosia octopunctata,Coenosia conforma
4760845,Metriocnemus albolineatus,Hydrosmittia oxoniana
5822411,Metriocnemus albolineatus,Smittia terrestris
5605809,Metriocnemus albolineatus,Metriocnemus eurynotus
4781944,Metriocnemus albolineatus,Smittia aterrima
5932702,Metriocnemus albolineatus,Smittia aterrima
5929943,Metriocnemus albolineatus,Micropsectra nana
4766370,Metriocnemus albolineatus,Tvetenia bavarica
5606225,Metriocnemus albolineatus,Parametriocnemus stylatus
5929755,Metriocnemus albolineatus,Parametriocnemus stylatus
5822429,Metriocnemus albolineatus,Smittia terrestris
5929498,Metriocnemus albolineatus,Smittia terrestris
5932714,Metriocnemus albolineatus,Smittia aterrima
5543769,Metriocnemus albolineatus,Campylomyza flavipes
5545834,Metriocnemus albolineatus,Tvetenia bavarica
5927940,Metriocnemus albolineatus,Metriocnemus eurynotus
6068070,Limnophora groenlandica,Spilogona sororcula
3980985,Pipunculus campestris,Eudorylas sp. CR10
6046406,Camponotus nearcticus,Camponotus excisus
5821247,Phyllonorycter junoniella,Glyphipterix simpliciella
5942133,Haliplus apicalis,Hydroporus pubescens
3983127,Trichogramma cacaeciae,Gryon aetherium
4676966,Symmetrischema striatella,gelJanzen01 Janzen12
5935798,Chaitophorus pusillus,Phylloxera coccinea
3729179,Pheidole punctatissima,Azteca instabilis
6094928,Glyphidocera lithodoxa,Glyphidocera virgulae
4282044,Orthocladius frigidus,Arctopelopia melanosoma
5036699,Phygadeuon trichops,Epitomus proximus
5025194,Phygadeuon trichops,Epitomus proximus
3848609,Hysteroneura setariae,Myzus hemerocallis
4755836,Apanteles carolinacanoae,Dolichogenidea Janzen45
6068575,Paraphaenocladius brevinervis,Cricotopus fuscus
6067702,Paraphaenocladius brevinervis,Allocladius sp. 1ES
6067906,Paraphaenocladius brevinervis,Allocladius sp. 1ES
6276000,Paraphaenocladius brevinervis,Allocladius sp. 1ES
6067941,Paraphaenocladius brevinervis,Allocladius sp. 1ES
6274399,Paraphaenocladius brevinervis,Tvetenia calvescens
4019484,Polypedilum tritum,Polypedilum sordens
4451681,Clogmia albipunctata,Cnephia eremites
3743684,Ochrotrichia dactylophora,Bredinia costaricensis
5010922,Phaonia errans,Bradysia fenestralis
4780953,Helina obscurata,Micropsectra uliginosa
5012451,Helodon pleuralis,Simulium pulverulentum
5941627,Helodon pleuralis,Simulium pulverulentum
4662627,Drosophila simulans,Lutzomyia ovallesi
6275503,Laccophilus biguttatus,TipulGn1 SADR02
3768807,Stator pruininus,Sennius morosus
3980878,Lasioglossum leucopus,Lasioglossum morio
4069249,Diolcogaster Janzen03,Pseudapanteles Malaise7252
3839865,Rhinacloa forticornis,Rhinacloa clavicornis
3801746,Rhinacloa forticornis,Rhinacloa clavicornis
4015307,Psychoda minuta,Psychoda sp. 11GMK
4771557,Hesperempis mabelae,Chelifera pyrenaica
5934649,Hesperempis mabelae,Ocydromia glabricula
4016745,Bicellaria lugubris,Bicellaria nigra
5084159,Anthocoris musculus,Microvelia pygmaea
5012125,Anthocoris musculus,Montandoniola moraguesi
4111830,Blastobasis phaedra,oecoBioLep01 BioLep369
5086317,Neophyllomyza quadricornis,Desmometopa varipalpis
5936780,Paramyia nitens,Desmometopa sordida
6041434,Micromus subanticus,Wesmaelius nervosus
4278295,Tvetenia calvescens,Rheocricotopus effusus
4278255,Tvetenia calvescens,Parakiefferiella bathophila
6047042,Opomyza petrei,Pherbellia dubia
4016359,Hydrotaea scambus,Brachicoma devia
5126175,Eupteryx atropunctata,Kybos luda
5125850,Eupteryx atropunctata,Protalebrella brasiliensis
5125998,Eupteryx atropunctata,Arboridia pusilla
5123462,Eupteryx atropunctata,Kybos luda
5518657,Anacampsis Malaise3063,gelMalaise01 Malaise4704
4483617,Anacampsis Malaise3063,elachBioLep01 BioLep689
5562520,Anacampsis Malaise3063,tinBioLep01 BioLep9316
5430114,Anacampsis Malaise3063,gelMalaise01 Malaise4704
4087604,Anacampsis Malaise3063,Carpatolechia proximella
4143549,Anacampsis Malaise3063,Dichomeris santarosensis
3741364,Megaselia hardingorum,Megaselia spinigera
4784625,Megaselia hardingorum,Megaselia subpalpalis
4786054,Megaselia hardingorum,Megaselia pulicaria complex
5555251,Megaselia oklizona,Megaselia hentschkeae
3708670,Megaselia lombardorum,Megaselia steptoeae
5009795,Megaselia lombardorum,Megaselia hardingorum
3712971,Megaselia lombardorum,Megaselia eccoptomera
3983771,Megaselia tecticauda,Megaselia robusta
3977374,Megaselia tecticauda,Megaselia defibaughorum
4015358,Megaselia tecticauda,Megaselia defibaughorum
4414619,Megaselia hirticrus,Megaselia defibaughorum
5026221,Megaselia hirticrus,Megaselia hardingorum
5057411,Triphleba aqualis,Megaselia robusta
5012285,Triphleba aqualis,Megaselia robusta
5942412,Ischnosoma splendidum,Micropeplus laticollis
5934690,Bledius denticollis,Omalium foraminosum
5079824,Lordithon fungicola,Lordithon thoracicus
4779731,Lordithon fungicola,Quedius sublimbatus
5085453,Orsodacne atra,Bembidion sordidum
5026272,Fannia corvina,Musca confiscata
3983209,Drosophila subobscura,Drosophila cardini
4795163,Sepsis punctum,Sepsis biflexuosa
4764999,Hydrotaea armipes,Egle ciliata
4775285,Pullimosina pullula,Leptocera curvinervis
5542457,Atractodes foveolatus,Barycnemis agilis
5541356,Atractodes foveolatus,Ceratophygadeuon bellus
4640498,Neopamera bilobata,Plinthisus americanus
5335747,Neopamera bilobata,Plinthisus americanus
6272565,Balclutha rhenana,Chiasmus niger
5029484,Dolichopus brevipennis,Dolichopus solidus
4414631,Lonchoptera bifurcata,Pherbellia ventralis
4817343,blastoBioLep01 BioLep842,blastoBioLep01 BioLep565
5241672,Dolichogenidea baoris,Rasivalva Choi01
5080735,Stenomacrus exserens,Orthocentrus asper
5864772,Orthocentrus malaise2014,Orthocentrus Malaise2014
6130761,Orthocentrus malaise2014,Orthocentrus Malaise3997
4014306,Anoecia corni,Dysaphis aucupariae
6048090,Peromyia cornuta,Campylomyza dilatata
5081101,Scatopsciara neglecta,Camptochaeta delicata
5036373,Dichopygina aculeata,Camptochaeta delicata
5038726,Dichopygina aculeata,Camptochaeta delicata
5034050,Dichopygina aculeata,Bradysia excelsa
5035461,Dichopygina aculeata,Camptochaeta delicata
5034022,Dichopygina aculeata,Camptochaeta delicata
5031737,Dichopygina aculeata,Camptochaeta delicata
5052830,Dichopygina aculeata,Phronia tenuis
5033762,Dichopygina aculeata,Camptochaeta delicata
5055274,Dichopygina aculeata,Zygomyia notata
6276596,Dichopygina aculeata,Claustropyga heteroclausa
5084095,Dichopygina aculeata,Binodoxys angelicae
5083291,Dichopygina aculeata,Camptochaeta delicata
6271270,Trichopalpus obscurellus,Themira putris
6272326,Trichopalpus obscurellus,Spilogona pacifica
5562622,Chionodes donatella,gelJanzen01 Janzen616
4833447,phyBioLep01 BioLep508,Bryotropha similis
3733678,elachMalaise5232 Malaise5232,gelBioLep01 BioLep1598
4216502,elachMalaise5232 Malaise5232,gelJanzen01 Janzen12
4176725,elachMalaise5232 Malaise5232,gelBioLep01 BioLep1598
4093240,elachMalaise5232 Malaise5232,geleBioLep01 BioLep5886
4813307,elachMalaise5232 Malaise5232,Aristotelia BioLep347
3993820,Acrolophus Janzen01,Acrolophus BioLep451
4438607,Acrolophus Janzen01,acroBioLep01 BioLep17
4361427,gelBioLep01 BioLep1373,gelBioLep01 BioLep743
4503409,gelBioLep01 BioLep1373,gelBioLep01 BioLep7976
5012084,Ephedrus lacertosus,Dinotrema Malaise1701
6271966,Sergentia coracina,Chironomus melanescens
5354749,Rhopalosiphum rufiabdominale,Brachyunguis harmalae
5146347,Rhopalosiphum rufiabdominale,Brachyunguis harmalae
5204596,Rhopalosiphum rufiabdominale,Brachyunguis harmalae
5146224,Rhopalosiphum rufiabdominale,Brachyunguis harmalae
5202751,Rhopalosiphum rufiabdominale,Brachyunguis harmalae
5825687,Metriocnemus picipes,Metriocnemus atriclava
4760782,Metriocnemus picipes,Metriocnemus fuscipes
5727101,Metriocnemus picipes,Metriocnemus albolineatus
5598966,Metriocnemus picipes,Metriocnemus atriclava
5825791,Metriocnemus picipes,Metriocnemus atriclava
5729627,Metriocnemus picipes,Parochlus kiefferi
5826795,Metriocnemus picipes,Metriocnemus atriclava
5598706,Metriocnemus picipes,Corynoptera breviformis
5601093,Metriocnemus picipes,Metriocnemus atriclava
5931072,Metriocnemus picipes,Metriocnemus albolineatus
5724291,Metriocnemus picipes,Metriocnemus atriclava
5600383,Metriocnemus picipes,Lestremia cinerea
5725746,Metriocnemus picipes,Metriocnemus fuscipes
4765031,Metriocnemus picipes,Metriocnemus fuscipes
4797474,Metriocnemus picipes,Metriocnemus fuscipes
5010651,Phaonia monticola,Boletina GS-spC
3723343,Cephalotes basalis,Procryptocerus scabriusculus
4437159,Chaetostigmoptera Malaise0066,Italispidea Janzen3885
4744710,Chirotica Malaise4273,tersiMalaise01 Malaise7296
4929291,Bedellia somnulentella,Coleophora argentialbella
4103285,cosmoBioLep01 BioLep16,blastoMalaise01 Malaise1400
4095181,cosmoBioLep01 BioLep16,cosmoBioLep01 BioLep15
5161393,Drosophila cardini,Drosophila cuaso
4807743,Sphaerocera curvipes,Copromyza neglecta
6042009,Chironomus harpi,Chironomus calligraphus
3709222,Stegophylla quercifoliae,Capitophorus hippophaes
3709251,Stegophylla quercifoliae,Encarsia lounsburyi
5355422,Australosepsis niveipennis,Sepsis thoracica
5418570,Australosepsis niveipennis,Archisepsis pusio
5051221,Mycomya shermani,Coelosia tenella
4284861,Paratanytarsus lauterborni,Tanytarsus pallidicornis
4414550,Paratanytarsus lauterborni,Micropsectra lindrothi
4411077,Paratanytarsus lauterborni,Tanytarsus pallidicornis
5237884,Dialectica scalariella,Phyllonorycter junoniella
4773534,Parectopa plantaginisella,crambidBioLep01 BioLep11
4785436,Parornix scoticella,Elachista alpinella
4332338,autoJanzen01 Janzen805,Glyphidocera sollertiae
4206591,Prionopelta modesta,Ponera coarctata
5011299,Iteaphila macquarti,Rhamphomyia hoeli
5126786,Megaselia longiseta,Megaselia eccoptomera
6275875,Spilogona zaitzevi,Spilogona leucogaster
4391575,Borgmeiermyia Janzen9903,Phytomyptera Malaise2209
4015365,Vespula vulgaris,Anagrus daanei
6090655,Nyssomyia trapidoi,Bichromomyia olmeca
6068312,Acentrella lapponica,Corynoneura arctica
4094655,Choreborogas jesseausubeli,doryMalaise27 Malaise7767
4227614,Diolcogaster Choi5983,Pseudapanteles Malaise7252
6275477,Rhamphomyia hoeli,Rhamphomyia praecipua
6276764,Rhamphomyia hoeli,Rhamphomyia shewelli
6273463,Rhamphomyia hoeli,Rhamphomyia praecipua
4014632,Bradysia vagans,Scatopsciara atomaria
5024605,Sciara hebes,Sciara flavimana
5118505,Aphis urticata,Phylloxera coccinea
5118493,Aphis urticata,Muscaphis escherichi
5118546,Aphis urticata,Brachyunguis harmalae
5118766,Aphis urticata,Brachyunguis harmalae
5356087,Arorathrips mexicanus,Anaphothrips sudanensis
4794172,Forcipomyia bipunctata,Forcipomyia ciliata
4794056,Forcipomyia bipunctata,Forcipomyia ciliata
4796658,Forcipomyia bipunctata,Forcipomyia ciliata
5821651,Forcipomyia bipunctata,Forcipomyia ciliata
5934915,Lepidophorus lineaticollis,Strophosoma capitatum
4807915,Opalimosina mirabilis,Howickia capitalis
5440199,Cochylina BioLep67,Clepsis BioLep109
3711240,Anagrus daanei,Anagrus atomus
3706115,Ectopsocus briggsi,Lachesilla pacifica
5402970,Polymitia eximipalpella,malaiseGraci01 Malaise4663
4848044,Heterospilus malaise0846,Heterospilus Malaise0966
4282227,Hydrellia griseola,Tomosvaryella demeyeri
4411575,Hydrellia griseola,Sepsis flavimana
4806124,Hydrellia griseola,Anthomyia mimetica
4409231,Hydrellia griseola,Themira lucida
5013141,Delia bucculenta,Delia pilifemur
5016920,Delia bucculenta,Botanophila helviana
5010872,Delia bucculenta,Spilogona leucogaster
4411360,Thienemanniella majuscula,Thienemanniella obscura
5942246,Atheta pseudometlakatlana,Atheta graminicola
5024331,Clypastraea lugubris,Stephostethus angusticollis
5942706,Corticarina latipennis,Corticarina cavicollis
5941298,Dorylomorpha borealis,Tomosvaryella coquilletti
5032234,Mycomya maculata,Coelosia tenella
3669535,Myrmelachista nigrocotea,Cephalotes basalis
5031670,Bradysia hilaris,Bradysia excelsa
5033893,Bradysia hilaris,Camptochaeta delicata
5055021,Brevicornu bipartitum,Allodia septentrionalis
4797750,Meiosimyza rorida,Limonia trivittata
5057343,Corynoptera blanda,Corynoptera minima
5035173,Corynoptera blanda,Camptochaeta delicata
5080590,Boletina minuta,Coelosia gracilis
5936075,Macrosteles quadrilineatus,Graminella nigrifrons
5023485,Phytomyza shepherdiana,Phytomyza flavofemorata
5021795,Phytomyza shepherdiana,Phytomyza flavofemorata
4803642,Phytomyza milii,Phytomyza chaerophylli
4783946,Phytomyza milii,Phytomyza chaerophylli
5930015,Phytomyza milii,Phytomyza spinaciae
5606363,Phytomyza milii,Phytomyza chaerophylli
5931936,Phytomyza milii,Phytomyza obscurella
5928307,Phytomyza milii,Phytomyza obscurella
4764330,Phytomyza milii,Phytomyza chaerophylli
6271211,Tanytarsus gracilentus,Micropsectra junci
6065063,Tanytarsus gracilentus,Cricotopus obnixus
6270660,Tanytarsus gracilentus,Micropsectra junci
5600170,Ablabesmyia monilis,Procladius villosimanus
4802574,Ablabesmyia monilis,Procladius villosimanus
5540458,Ablabesmyia monilis,Ablabesmyia phatta
3980150,Ponera coarctata,Ponera pennsylvanica
4781172,Chironomus annularius,Chironomus maturus
6116803,Cyrtoneuropsis neotrita,Helina atricolor
6088226,Cyrtoneuropsis neotrita,Trachyopella straminea
5941853,Borboropsis puberula,Conioscinella frontella
5205325,Dicladispa armigera,Myrrha octodecimguttata
5120270,Phygadeuon nanus,Epitomus proximus
5603242,Tersilochus nitidipleuris,Tersilochus lapponicus
3982237,Anteon cameroni,Illidops albostigmalis
5354833,Spilostethus pandurus,Anthocoris musculus
5354698,Spilostethus pandurus,Brachyplatys subaeneus
6049432,Allognosta fuscitarsis,Melanostoma fasciatum
6049490,Allognosta fuscitarsis,Microchrysa flavicornis
6049472,Allognosta fuscitarsis,Melanostoma fasciatum
6049845,Allognosta fuscitarsis,Microchrysa flavicornis
6045522,Allognosta fuscitarsis,Microchrysa flavicornis
4015261,Bradysia fenestralis,Bradysia excelsa
6271146,Tanytarsus niger,Tanytarsus anderseni
4412435,Cladopelma virescens,Dicrotendipes lobiger
4413487,Cladopelma virescens,Tanytarsus pallidicornis
4411188,Cladopelma virescens,Tanytarsus pallidicornis
4282538,Cladopelma virescens,Microchironomus tener
5539078,Siphona maculata,Coenosia mollicula
5164790,Cyrtoneurina geminata,sarcJanzen1 Janzen9584
5136761,Megaselia spiracularis,Megaselia scalaris
3951993,Howickia capitalis,Pullimosina pullula
4285761,Trissopelopia longimanus,Macropelopia nebulosa
5200462,Tuberculobruchus albizziarum,Algarobius prosopis
4283796,Paratanytarsus bituberculatus,Procladius villosimanus
4900092,Antaeotricha BioLep529,Clepsis BioLep109
4381153,Antaeotricha BioLep529,Antaeotricha Malaise8614
5015047,Phytomyza urbana,Cerodontha atra
5331482,Metria Malaise4838,Stigmella pruinosa
3710179,Ectopsocus californicus,Ectopsocopsis cryptomeriae
3709089,Ectopsocus californicus,Trichopsocus claris
3713962,Ectopsocus californicus,Lachesilla pacifica
3921484,Propsocus pulchripennis,Protonemura hrabei
3921468,Propsocus pulchripennis,Ectopsocopsis cryptomeriae
4765532,Cordyla pusilla,Cordyla brevicornis
5606193,Cordyla pusilla,Brevicornu arcticum
5605566,Cordyla pusilla,Allodia septentrionalis
5827460,Cordyla pusilla,Brevicornu griseolum
5606520,Cordyla pusilla,Brevicornu griseolum
3906932,Camponotus brettesi,Camponotus excisus
3909746,Camponotus brettesi,Camponotus novogranadensis
3909965,Camponotus brettesi,Olixon cf. testaceum
5290381,Eumerus amoenus,Pipiza quadrimaculata
3720319,Gnamptogenys sulcata,Pseudomyrmex gracilis
3880340,Gnamptogenys sulcata,Camponotus nearcticus
3906044,Gnamptogenys sulcata,Camponotus integellus
5237276,Hemiptarsenus varicornis,tetraMalaise01 malaise0278
4411923,Psychoda uniformata,Psychoda minuta
5012357,Megaselia scutellaris,Megaselia hardingorum
5246972,Centrodora livens,encyrMalaise01 Malaise8011
4702184,Elmohardyia sp. AZ3,Pipunculus sp. CR5
5503048,Antaeotricha Janzen876,Dichomeris BioLep1283
4771593,Iteaphila orchestris,Rhamphomyia dentata
4770357,Iteaphila orchestris,Rhamphomyia unguiculata
5017294,Iteaphila orchestris,Rhamphomyia hoeli
4766935,Pneumia mutua,Psychoda albipennis
4765853,Pneumia mutua,Trichocera regelationis
4765745,Pneumia mutua,Cratyna brachialis
4765832,Pneumia mutua,Ormosia depilata
4761414,Pneumia mutua,Psychoda albipennis
4761377,Pneumia mutua,Trichocera regelationis
4761528,Pneumia mutua,Psychoda albipennis
4761565,Pneumia mutua,Ectoedemia populella
4785222,Pneumia mutua,Trichocera regelationis
4765823,Pneumia mutua,Trichocera regelationis
4765685,Pneumia mutua,Boletina pseudonitida
5926506,Pneumia mutua,Clogmia albipunctata
4411566,Cerodontha denticornis,Phytomyza ilicicola
3703712,Cyphomyrmex dixus,Paraparatrechina sauteri
3877498,Cyphomyrmex dixus,Acromyrmex lundi
3992919,Camponotus linnaei,Camponotus excisus
3728975,Camponotus linnaei,Camponotus excisus
3761723,Camponotus linnaei,Analysson rufescens
3720361,Camponotus linnaei,Camponotus excisus
5051197,Boletina onegensis,Boletina minuta
5415896,immidBioLep01 BioLep820,acroBioLep01 BioLep17
4761428,Dacnusa faeroeensis,Chorebus eros
5480710,Typhaea stercorea,Cryptophilus sp. SAEVG Morph0281
3983039,Megaselia emarginata,Conicera floricola
5942218,Stephostethus liratus,Corticaria elongata
4066807,Siphona Janzen65,Anisia Janzen5197
3828944,Siphona Janzen65,Anisia Janzen5197
5024696,Lordithon thoracicus,Eucnecosum brunnescens
5934893,Philhygra jarmilae,Atheta terranovae
3982512,Acrolyta rufocincta,Mirax Janzen3933
5783244,Hyposoter INB-257,encyrMalaise01 Malaise5253
5769969,Microsepsis sp. LZ213,Australosepsis niveipennis
4012947,Ooctonus hemipterus,Anaphes listronoti
4017410,Pachyneuron groenlandicum,Phaenocarpa Malaise8743
5567837,Megaselia wendyporrasae,Megaselia thomaspapei
5584318,Megaselia wendyporrasae,Megaselia thomaspapei
5438545,Megaselia wendyporrasae,Megaselia thomaspapei
5487965,Megaselia wendyporrasae,Megaselia thomaspapei
5485344,Megaselia wendyporrasae,Megaselia thomaspapei
5527521,Megaselia wendyporrasae,Megaselia torbjornekremi
5532523,Megaselia wendyporrasae,Megaselia thomaspapei
5553141,Megaselia wendyporrasae,Megaselia thomaspapei
5553216,Megaselia wendyporrasae,Megaselia thomaspapei
5568546,Megaselia wendyporrasae,Megaselia thomaspapei
5467601,Megaselia wendyporrasae,Megaselia thomaspapei
5534675,Megaselia wendyporrasae,Megaselia thomaspapei
5579000,Megaselia wendyporrasae,Megaselia thomaspapei
5532253,Megaselia wendyporrasae,Megaselia thomaspapei
5580277,Leptodrepana alexisae,Leptodrepana Malaise4361
5526201,Eubazus Malaise9919,Nealiolus Malaise1381
5725937,Schoenomyza litorella,Anthomyia mimetica
5927265,Pelina similis,Scatella paludum
5199665,Myrmechixenus vaporariorum,Xylosandrus morigerus
5251911,Megaselia manicata,Megaselia involuta
4281356,Schoenomyza litorella,Zaphne barbiventris
4234187,Culicoides guttatus,Culicoides coutinhoi
4110779,Culicoides guttatus,Culicoides ZUR-6
5055209,Zygomyia notata,Boletina dissipata
3919932,Pteromalus puparum,Psychophagoides crassicornis
5053629,Megaselia atrox,Megaselia robusta
4019001,Megaselia atrox,Megaselia robusta
5357531,Pachyneuron aphidis,Pteromalus puparum
5024929,Ablabesmyia monilis,Procladius villosimanus
5034221,Ablabesmyia monilis,Procladius villosimanus
5038963,Ablabesmyia monilis,Procladius villosimanus
5035165,Ablabesmyia monilis,Procladius villosimanus
5034093,Ablabesmyia monilis,Paratendipes albimanus
5021209,Ablabesmyia monilis,Ablabesmyia phatta
5024938,Ablabesmyia monilis,Ablabesmyia phatta
5031471,Ablabesmyia monilis,Procladius villosimanus
5031281,Ablabesmyia monilis,Procladius villosimanus
5023768,Ablabesmyia monilis,Schwenckfeldina carbonaria
5030656,Ablabesmyia monilis,Megaselia basispinata
5031535,Ablabesmyia monilis,Procladius villosimanus
5026790,Ablabesmyia monilis,Diplocladius cultriger
5026880,Ablabesmyia monilis,Procladius villosimanus
5038785,Ablabesmyia monilis,Diplocladius cultriger
5033954,Ablabesmyia monilis,Ablabesmyia phatta
5031292,Ablabesmyia monilis,Procladius villosimanus
5021206,Ablabesmyia monilis,Procladius villosimanus
5021298,Ablabesmyia monilis,Ablabesmyia phatta
5023515,Ablabesmyia monilis,Procladius villosimanus
5025129,Ablabesmyia monilis,Procladius villosimanus
5942263,Pachybrachis peccans,Monolepta jacksoni
5035591,Plectiscidea prolata,Plectiscidea tumida
3715126,Lachesilla pacifica,Ectopsocus meridionalis
3705813,Lachesilla pacifica,Ectopsocus meridionalis
5456098,Phanerotoma dirksteinkei,Phanerotoma anamariamongeae
4282039,Laccophilus minutus,Aiolopus thalassinus
5722231,Megaselia hendersoni,Megaselia halterata
5545379,Botanophila apiciseta,Pegomya rubivora
3983830,Elaphropeza ephippiata,Platypalpus stigmatellus
4770324,Alliopsis benanderi,Prorhynchops Malaise2384
4015619,Zyginidia scutellaris,Cicadula intermedia
4018867,Zyginidia scutellaris,Balclutha rhenana
4725210,tinBioLep01 BioLep8630,tinBioLep1 BioLep8630
5030920,Megaselia defibaughorum,Megaselia robusta
5013168,Megaselia defibaughorum,Megaselia hardingorum
4771575,Megaselia defibaughorum,Megaselia hardingorum
3975520,Taeniothrips inconsequens,Thrips tabaci
3975454,Taeniothrips inconsequens,Taeniothrips orionis
3977343,Belyta sanguinolenta,Acanosema nervosum
3977394,Belyta sanguinolenta,Belyta depressa
5545146,Asynapta magdalini,Lestremia cinerea
4772543,Cratyna prima,Claustropyga refrigerata
5017356,Polypedilum tuberculum,Micropsectra junci
5017414,Polypedilum tuberculum,Micropsectra junci
6042987,Leptosciarella scutellata,Prosciara prosciaroides
4784684,Chlorops hypostigma,Trachysiphonella scutellata
4772035,Chlorops hypostigma,Trachysiphonella scutellata
4781869,Chlorops hypostigma,Thaumatomyia trifasciata
4784271,Chlorops hypostigma,Trachysiphonella scutellata
4783663,Agromyza vicifoliae,Phytomyza spinaciae
4926421,Notiospathius Malaise5588,Notiospathius malaise0774
3855423,Notiospathius Malaise5588,Stenocorse Malaise6096
4139370,Notiospathius Malaise5588,Notiospathius Malaise6081
3908293,Notiospathius Malaise5588,Panama Malaise5794
4955171,Notiospathius Malaise5588,Notiospathius malaise0774
4568307,Notiospathius Malaise5588,Notiospathius Malaise1931
