GT_id,GT_label,Pred_label
6061956,Rhamphomyia laevigata,Platypalpus lateralis
5546460,Coelopa frigida,Trichopalpus obscurellus
3860260,Chetogena parvipalpis,Paradidyma melania
5016544,Lasiomma cuneicorne,Botanophila striolata
5598994,Megaselia longicostalis,Metriocnemus atriclava
5939081,Euceraphis papyrifericola,Euceraphis borealis
4013933,Bradysia trivittata,Scatopsciara atomaria
3741259,Bradysia trivittata,Bradysia fenestralis
3710797,Bradysia trivittata,Bradysia fenestralis
3740615,Bradysia trivittata,Bradysia fenestralis
5035724,Prosciara prosciaroides,Bradysia lapponica
5193314,Aristotelia BioLep531,Stegasta bosqueella
5781725,gelBioLep1 BioLep883,gelBioLep01 BioLep883
4634301,geleBioLep01 BioLep1000,Elachista alpinella
4086858,Blastobasis orithyia,Blastobasis babae
4645576,Anisia Janzen5197,Wood96 Malaise8945
4794330,Limnophyes ninae,Limnophyes asquamatus
5727723,Limnophyes ninae,Limnophyes difficilis
5930576,Dicranomyia modesta,Lutzomyia cruciata
3805160,Paradidyma Malaise2555,Phytomyptera Malaise3317
5455979,Paradidyma Malaise2556,Paradidyma Malaise2559
4634295,Paradidyma Malaise2556,Paradidyma Malaise2558
5963331,Borgmeiermyia Janzen4737,Chaetostigmoptera Malaise9075
4760233,Fannia genualis,Botanophila striolata
4278273,Cricotopus bicinctus,Rheocricotopus effusus
5864793,Glyptapanteles meganmiltonae,Syntretus Malaise2676
4253703,Lipolexis oregmae,Pambolus Malaise9142
4797262,Allocladius nanseni,Micropsectra lindrothi
4793729,Allocladius nanseni,Parakiefferiella bathophila
4804097,Pegoplata infirma,Egle ciliata
4927280,Psychoda albipennis,Psychoda satchelli
5037937,Corynoptera trepida,Camptochaeta delicata
5032699,Corynoptera trepida,Camptochaeta delicata
5144500,Bemisia tabaci,Siphoninus phillyreae
4848334,Dolichogenidea Janzen5847,Glyptapanteles Malaise8196
5135196,Thrips australis,Florithrips traegardhi
6061719,Coenosia morrisoni,Coenosia conforma
5723015,Psychoda grisescens,Psychoda albipennis
4763836,Bradysia pallipes,Boletina pseudonitida
5872953,Coproica ferruginata,Rachispoda spuleri
3720755,Hypatopa spei,blastoBioLep01 BioLep565
4257271,Hypatopa spei,blastoBioLep01 BioLep1040
4034021,Glyptapanteles Malaise8087,Glyptapanteles Malaise8196
5162198,Atherigona reversura,Atherigona orientalis
5247709,Atherigona reversura,Atherigona orientalis
6046180,Psychoda trinodulosa,Phytomyza flavofemorata
4284901,Paratendipes albimanus,Rheocricotopus effusus
5106180,Rhinacloa clavicornis,Orthops palus
5145376,Bradysia ocellaris,Leptosciarella saltuum
4188475,Megaselia steptoeae,Megaselia danizona
4548618,Megaselia steptoeae,Megaselia pisanoi
5000910,Megaselia steptoeae,Anisia Janzen5197
5081070,Alpinosciara subtrivialis,Camptochaeta delicata
5082652,Alpinosciara subtrivialis,Camptochaeta delicata
5030548,Claustropyga acanthostyla,Cratyna falcata
4993440,Tanytarsus hastatus,Tanytarsus ejuncidus
4221323,Tanytarsus hastatus,Tanytarsus ejuncidus
5921395,Hormius Malaise8560,Pambolus Malaise2320
3702177,Pseudomyrmex elongatus,Pseudomyrmex gracilis
5723470,Megaselia crassipes,Triphleba distinguenda
5287781,Alloxysta ramulifera,Alloxysta arcuata
3831518,Procryptocerus scabriusculus,Camponotus excisus
5698253,Dinotrema Malaise3029,Dinotrema Malaise3885
4412210,Tanytarsus excavatus,Tanytarsus ejuncidus
4415412,Tanytarsus excavatus,Paratanytarsus bituberculatus
4409328,Tanytarsus excavatus,Paratanytarsus laetipes
5162022,Archisepsis pusio,Australosepsis niveipennis
4704887,Acrolophus BioLep454,acroBioLep01 BioLep17
3991492,Calyptoproctus elegans,Acraephia perspicillata
5350738,Aconurella prolixa,Busonia albilateralis
3914446,Lycoriella sativae,Bradysia excelsa
5722377,Ooctonus notatus,Ooctonus vulgatus
5925808,Heleomyza modesta,Heleomyza serrata
4807245,Heleomyza modesta,Limosina silvatica
6048401,Toramus pulchellus,Corticarina cavicollis
4361502,Phytomyptera Janzen7239,Phytomyptera Malaise 7239
4030667,Phytomyptera Janzen7239,Phytomyptera Malaise 7239
4616811,oecoBioLep01 BioLep369,Tsinilla lineana
5547539,Limnellia quadrata,Scatella paludum
4791132,Gelis hortensis,cryptJanzen01 Malaise6508
4774893,Aclastus solutus,Aphidius platensis
5724700,Pseudocollinella humida,Leptocera erythrocera
4648259,Trachyopella straminea,Rudolfina exuberata
4645206,Trachyopella straminea,Bromeloecia wolverinei
5355289,Megaselia halterata,Megaselia oklizona
5145737,Megaselia halterata,Megaselia emarginata
5146359,Schizaphis graminum,Muscaphis escherichi
4683304,Paradidyma Malaise2503,Paradidyma melania
5598576,Lycoriella agraria,Ctenosciara hyalipennis
5138719,Bradysia nomica,Corynoptera blanda
5931319,Smittia leucopogon,Smittia terrestris
5727745,Temnosira saltuum,Chamaepsila nigricornis
4765649,Tephrochlamys rufiventris,Scoliocentra brachypterna
3851024,Allophrys divaricata,Blacus Malaise6323
5354116,Thelyconychia solivaga,Myiopharus Janzen3256
4803133,Serromyia femorata,Serromyia ledicola
5054166,Megaselia citrinella,Megaselia spinigera
5035675,Heterogenella hybrida,Bryomyia producta
4761286,Coenosia intermedia,Coenosia conforma
3979117,Megaselia pumila,Megaselia robusta
4222176,Salia BioLep752,tortJanzen01 Janzen342
4015587,Aleyrodes lonicerae,Singhiella simplex
5539090,Egle rhinotmeta,Egle subarctica
5542700,Trichina clavipes,Ocydromia glabricula
4034935,Dinotrema Malaise3805,Dinotrema Malaise9669
4074701,Orthocentrus Malaise5689,Orthocentrus Malaise2720
4770446,Cratyna nobilis,Cratyna brachialis
3805279,Stenomacrus Malaise6520,Orthocentrus Malaise8983
5727988,Peyerimhoffia vagabunda,Cratyna cryptospina
4184551,Rachispoda trigonata,Rachispoda fuscinevris
4570578,Cosmosciara sp. SAEVG Morph0042,Cosmosciara perniciosa
5292790,Cosmosciara sp. SAEVG Morph0042,Cosmosciara perniciosa
5671424,malaiseGraci01 Malaise6860,malaiseGraci01 Malaise4139
4420443,Leiophron Malaise6887,Aridelus Malaise4016
5601378,Chaetocladius perennis,Chaetocladius tenuistylus
5665304,Chilocyrtus Malaise7054,Chilocyrtus Malaise1867
6156597,Chilocyrtus malaise7054,Chilocyrtus Malaise1867
3879156,Pseudocaecilius citricola,Trichopsocus claris
5672427,tinBioLep01 BioLep9316,tinBioLep01 BioLep5457
4786321,Stenomacrus affinitor,Orthocentrus asper
4927649,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4594116,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4700786,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4725191,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4863614,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4315464,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
3973880,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4999836,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4141691,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
4479154,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4640489,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
4635454,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
5041122,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4329292,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
5044465,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4723373,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4741301,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4646885,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4449234,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4743294,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
3972190,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4168873,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
5074048,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4317134,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
4478005,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4677699,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4676881,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
4267095,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
4249202,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
4078581,Bracon juliodiazi,Bracon Malaise5340
4215633,malaiseGraci01 Malaise379,malaiseGraci01 Malaise6473
4202559,malaiseGraci01 Malaise379,malaiseGraci01 Malaise9722
5423224,Trissolcus hyalinipennis,Psix saccharicola
4488014,Encarsia lounsburyi,Encarsia citrina
4313162,Encarsia lounsburyi,Encarsia citrina
4378684,Encarsia lounsburyi,Encarsia citrina
4839350,Encarsia lounsburyi,Encarsia citrina
5134248,Liriomyza chenopodii,Liriomyza brassicae
5723016,Corynoptera irmgardis,Corynoptera alneti
5723564,Corynoptera irmgardis,Lestremia cinerea
5411895,phyMalaise01 Malaise2168DHJ02,phyMalaise01 Malaise2168DHJ01
3915063,Aleiodes alessandracallejae,Pseudophanerotoma bobrobbinsi
4575623,Brasema rhadinosa,Eupelmus pulchriceps
4833779,Leiophron Malaise4536,Elasmus Malaise8332
4601601,gelBioLep01 BioLep743,gelBioLep01 BioLep7976
4548881,gelBioLep01 BioLep743,gelMalaise01 Malaise5227
4450319,gelBioLep01 BioLep743,gelBioLep1 BioLep743
5969204,gelBioLep1 BioLep743,gelBioLep01 BioLep1373
5824486,Bicellaria vana,Bicellaria furcifer
3869309,Battaristis MalaiseMetz3348,geleBioLep01 BioLep1000
4795040,Smittia paranudipennis,Limnophyes difficilis
4247729,Aprostocetus aproMalaise0531,encyrMalaise01 Malaise9370
4638551,Dasydorylas sp. TX16,Eudorylas sp. CR10
4994224,Dasydorylas sp. TX16,Eudorylas sp. CR28
4133837,gelMalaise01 Malaise4390,gelMalaise01 Malaise6890
3808032,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
5849855,Microsepsis mitis,Australosepsis niveipennis
5729757,Bradysia alpicola,Bradysia pallipes
4237063,gelMalaise01 Malaise8081,cosmoBioLep01 BioLep15
4734749,Lepidopsocus unicolor,Cerobasis guestfalica
5141062,Meoneura palaestinensis,Desmometopa m-nigrum
5926462,Smittia terrestris,Smittia edwardsi
5726522,Smittia terrestris,Anaretella iola
5726838,Chorebus petiolatus,Chorebus posticus
5658542,Lutzomyia edentula,Nyssomyia trapidoi
5821286,Dacnusa areolaris,Chorebus eros
4808300,Limonia trivittata,Chamaepsila nigra
4278163,Tanytarsus pallidicornis,Psectrocladius limbatellus
4115538,Pambolus Malaise8158,Pseudopomyza nigrimana
6228873,tersiMalaise01 malaise9021,tersiMalaise01 Malaise9679
4784248,Bradysia lobulifera,Ctenosciara hyalipennis
3752385,Plectiscus Malaise1594,Orthocentrus Malaise8983
5954181,Plectiscus Malaise1594,Plectiscus Malaise5795
4704174,Dinotrema Malaise4203,Dinotrema malaise0256
4086086,cosmoMalaise01 Malaise2859,cosmoMalaise01 Malaise9410
4626307,cosmoMalaise01 Malaise2859,cosmoMalaise01 Malaise4616
4088214,cosmoMalaise01 Malaise2859,cosmoMalaise01 Malaise9410
4770372,Tanytarsus mendax,Micropsectra uliginosa
5656090,Orthocentrus Malaise9380,Orthocentrus malaise9380
5632212,Orthocentrus Malaise9461,Chilocyrtus Malaise3264
4284943,Leptocera lutosoidea,Leptocera erythrocera
5408137,Elmohardyia sp. CR1,Elmohardyia circulus
5053058,Boletina dissipata,Boletina pseudonitida
5942693,Taeniothrips orionis,Scopula BioLep357
4782840,Megaselia lucifrons,Megaselia hardingorum
5085878,Megaselia lucifrons,Megaselia hardingorum
4772051,Megaselia longicostalis,Megaselia tarsella
5055195,Megaselia longicostalis,Megaselia hardingorum
5042818,ichMalaise01 Malaise5713,Lymeon Gauld13
4999001,Keiferia Malaise6589,elachBioLep01 BioLep210
4468053,gelMalaise01 Malaise6953,gelMalaise01 Malaise5966
4278078,Cricotopus fuscus,Parakiefferiella bathophila
3867141,Ecphylus Malaise8698,doryMalaise27 Malaise7767
4107604,Megaselia montywoodi,Corynoptera trepida
4582201,Megaselia montywoodi,Lutzomyia ovallesi
5959117,gelMalaise01 Malaise9193,cosmoBioLep01 BioLep0552
4168829,gelMalaise01 Malaise9194,gelMalaise01 Malaise6953
4458841,gelMalaise01 Malaise9194,gelMalaise01 Malaise9195
4897128,gelMalaise01 Malaise9194,gelMalaise01 Malaise6013
3939188,gelMalaise01 Malaise9194,gelMalaise01 Malaise9195
4819118,gelMalaise01 Malaise9194,gelMalaise01 Malaise2486
4397984,gelMalaise01 Malaise9195,gelMalaise01 Malaise9194
6187290,cramMalaise01 Malaise9409,cosmoBioLep1 BioLep16
4051553,Notiospathius Malaise9566,doryMalaise27 Malaise7767
4771192,gelMalaise01 Malaise9778,blastoMalaise01 Malaise1400
4616188,Hormius joncoddingtoni,Hormius Malaise2497
4223763,Hormius joncoddingtoni,Hormius Malaise2497
3894054,Hormius modonnellyae,Hormius Malaise2497
4504312,Hormius modonnellyae,Hormius mercedesfosterae
4899886,Hormius modonnellyae,Hormius hesiquiobenitezi
4704686,Basileunculus sp. CR3,Eudorylas sp. CR10
5808939,Hypsicera malaise0328,IchMalaise01 malaise6840
3850405,Eubazus malaise0452,Diolcogaster Choi77
3771143,ichneuMalaise01 malaise0819,ichneuMalaise01 malaise9082
3833256,Robustagramma biangulatum,Micropsectra lindrothi
4672963,Platyphysus obtusus,Euplatypus sp. 3YB
4449183,oecoMalaise01 Malaise4787,Lyonetia pulverulentella
4951967,Megaselia tropizona,Megaselia guanizona
3816090,Megaselia tropizona,Megaselia hentschkeae
4293599,Phytomyptera Malaise6585,Phytomyptera Malaise2209
4042360,Phytomyptera Malaise6585,Phytomyptera Malaise2209
4635592,Phytomyptera Malaise6585,Phytomyptera Malaise2209
4177880,Megaselia hentschkeae,Megaselia pisanoi
3986842,Megaselia hentschkeae,Megaselia pisanoi
4703773,Chespiritos dolabratus,Pullimosina pullula
4355105,Perditorulus Malaise6862,Perditorulus Malaise6805
3698853,encyrMalaise01 Malaise7544,encyrMalaise01 Malaise6489
4169717,Aprostocetus aproMalaise0052,Aprostocetus aproMalaise1621
5526384,Porphyrochroa sp. 6 BKC-2015,empedidJanzen02 Janzen9877
3860915,Orthocentrus Malaise7701,Orthocentrus Malaise8983
5566314,tinBioLep01 BioLep5457,cosmoBioLep01 BioLep1465
4284776,Elmis bosnica,Elmis aenea
4282634,Elmis bosnica,Elmis aenea
5924995,Tersilochus striola,Tersilochus lapponicus
5924496,Tersilochus striola,Tersilochus lapponicus
4362738,Phanerotoma Janzen5955,Phanerotoma anacordobae
3720883,Phanerotoma Janzen5955,Phanerotoma anamariamongeae
5788244,Grotiusomyia Hansson7663,euloMalaise1 euloMalaise6772
4282304,Cladotanytarsus mancus,Paratanytarsus laccophilus
4065085,Dinotrema Malaise3869,Dinotrema Malaise7037
3933011,eulophMalaise01 Malaise5445,Perditorulus Malaise6862
5958316,eulophMalaise01 Malaise5445,eulophMalaise1 Malaise7416
5992061,Leiophron Malaise9977,Leiophron Malaise1234
4256962,Chespiritos extendido,Chespiritos dolabratus
5824566,Scatopsciara atomaria,Scatopsciara nana
5600496,Scatopsciara atomaria,Scatopsciara nana
5629325,Dinotrema Malaise5385,Dinotrema Malaise3885
4780304,Culicoides chiopterus,Culicoides pictipennis
5154319,Chelonus Malaise2690,Blacus malaise0651
4412396,Phaenopsectra punctipes,Tanytarsus excavatus
4283431,Tanytarsus usmaensis,Tanytarsus brundini
4193716,gelBioLep01 BioLep1598,gelJanzen01 Janzen12
5646057,Diolcogaster Malaise7359,Syntretus Malaise2676
5763993,Dinotrema Malaise7839,Dinotrema Malaise3501
5663494,Dinotrema Malaise8133,Dinotrema Malaise3885
5713982,Meteorus Malaise2812,Meteorus Janzen10
5707985,Meteorus Malaise3344,Meteorus Malaise2812
5703584,Chespiritos extendido,Chespiritos dolabratus
5013604,Paratanytarsus laccophilus,Parakiefferiella scandica
5024661,Scatopsciara atomaria,Trichosia lengersdorfi
4278463,Polypedilum nubeculosum,Chironomus lugubris
BIOUG75427-A01,Psychoda alternata,Clogmia albipunctata
BIOUG70179-B12,Dichomeris MalaiseMetz1419,gelBioLep01 BioLep7976
BIOUG75444-D11,Pseudapanteles raulsolorzanoi,Glyptapanteles Malaise2577
BIOUG70182-D02,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ01
BIOUG78846-G06,Dinotrema Malaise4777,Dinotrema Malaise7967
BIOUG78186-C10,Elachista exactella,Elachista illectella
BIOUG66235-D02,Liriomyza chenopodii,Liriomyza brassicae
BIOUG80630-A02,Renodes BioLep858,Pero clana
BIOUG65690-C11,Atherigona reversura,Atherigona orientalis
BIOUG78285-C12,alyMalaise01 Malaise3306,Dinotrema Malaise6339
BIOUG74847-F11,Psychoda alternata,Clogmia albipunctata
BIOUG77062-H01,Heterospilus Malaise3361,opiMalaise01 Malaise2177
BIOUG78586-F04,alyMalaise01 Malaise3306,Dinotrema Malaise3606
BIOUG74677-A01,Psectrocladius barbimanus,Orthocladius frigidus
BIOUG79593-E06,Ecphylus Malaise2514,Ecphylus Malaise6321
BIOUG75923-D04,Pseudapanteles raulsolorzanoi,Apanteles raulacevedoi
BIOUG66388-H07,Cotesia ruficrus,Eubazus Malaise2286
BIOUG75444-H06,Phanerotoma Janzen5955,Phanerotoma anacordobae
BIOUG78197-H05,Orfelia nemoralis,Brevicornu beatum
BIOUG68503-G05,Trichogramma achaeae,Trichogramma chilotraeae
BIOUG66620-A07,Bemisia tabaci,Aleurotrachelus dryandrae
BIOUG67160-F03,Cosmosciara sp. SAEVG Morph0042,Cosmosciara perniciosa
BIOUG75608-E05,Bradysia trivittata,Camptochaeta delicata
BIOUG67717-F08,Culicoides oxystoma,Culicoides imicola
BIOUG77820-C04,Hydrangeocola Malaise3285,alyMalaise01 Malaise7873
BIOUG78233-G01,Dinotrema Malaise3425,Dinotrema Malaise6339
BIOUG79654-F10,Argyria centrifugensDHJ02,cramMalaise75 Malaise2864
BIOUG66072-B03,Bradysia algidus,Bradysia lapponica
BIOUG79513-A03,Casinaria Malaise6162,Xiphosomella Malaise7341
BIOUG75451-E01,Paradidyma Malaise2558,Paradidyma Malaise2503
BIOUG75443-D04,Pambolus Malaise7221,Pambolus Malaise8158
BIOUG78719-E06,cramMalaise4941 Malaise4941,cramMalaise9483 Malaise9483
BIOUG81060-G11,Megaselia steptoeae,Megaselia winnizona
BIOUG80685-C06,Helicobia rapax,sarcJanzen01 Janzen12
BIOUG74638-E05,Psychoda trinodulosa,Psychoda minuta
BIOUG80671-C06,Cotesia scotti,Cotesia Whitfield05
BIOUG77106-G08,Scaptodrosophila latifasciaeformis,Drosophila simulans
BIOUG74643-A02,Brachymyrmex depilis,Tapinoma melanocephalum
BIOUG78470-B02,Casinaria Malaise6162,Campoplex RC-01
BIOUG65294-D03,ceratoJanzen01 Janzen02,ceratoJanzen1 Janzen2
BIOUG66169-G01,Megaselia artborkenti,Gymnophora marshalli
BIOUG66096-B05,Scatopsciara atomaria,Lycoriella sativae
BIOUG75441-E07,Phanerotoma Janzen5955,Phanerotoma davesmithi
BIOUG79697-B02,Argyria centrifugensDHJ02,cramMalaise75 Malaise2864
BIOUG77790-C01,Dinotrema Malaise4111,Dinotrema Malaise1186
BIOUG66608-E11,Culicoides oxystoma,Culicoides brevitarsis
BIOUG74639-B11,Bradysia scabricornis,Bradysia impatiens
BIOUG66618-A03,Illidops albostigmalis,Rasivalva Choi01
BIOUG66365-B03,Cotesia vestalis,Glyptapanteles Malaise5690
BIOUG79570-A11,Megaselia steptoeae,Megaselia winnizona
BIOUG77550-H06,cramMalaise4941 Malaise4941,bibMalaise3149 Malaise3149
BIOUG76787-A09,alyMalaise01 Malaise2879,alyMalaise01 Malaise2441
BIOUG66131-C06,Toxomerus bistrigus,Toxomerus pictus
BIOUG81016-A03,Bemisia tabaci,Pealius mori
BIOUG66728-A03,Atherigona reversura,Atherigona orientalis
BIOUG79572-A09,encyrMalaise01 Malaise4743,encyrMalaise01 malaise6509
BIOUG66315-A08,Adia cinerella,Musca confiscata
BIOUG78773-G01,cramMalaise4941 Malaise4941,gelMalaise01 Malaise6475
BIOUG67736-D11,phyMalaise01 Malaise2939,phyMalaise01 Malaise2168DHJ02
BIOUG67021-E12,Cosmosciara sp. SAEVG Morph0042,Cosmosciara perniciosa
BIOUG75419-H01,Eois Malaise6693,Wesmaelius nervosus
BIOUG81087-C02,Tanytarsus hastatus,Tanytarsus pandus
BIOUG74847-A11,Helicobia rapax,sarcJanzen01 Janzen12
BIOUG78381-C11,Pambolus Malaise8158,alyMalaise01 Malaise9763
BIOUG66395-C11,Cratyna keilini,Musca confiscata
BIOUG66830-G07,Glyphidocera BioLep192,Glyphidocera virgulae
BIOUG66712-E01,Tetraleurodes acaciae,Trialeurodes variabilis
BIOUG56863-C06,Brumoides suturalis,Exochomus quadripustulatus
BIOUG78777-H11,Diolcogaster Choi107,Glyptapanteles Malaise2825
BIOUG74857-B07,Chilocyrtus Malaise1483,Orthocentrus Malaise3997
BIOUG65932-H09,Epuraea ocularis,Carpophilus mutilatus
BIOUG66623-D03,Bradysia ocellaris,Pseudonapomyza atra
BIOUG66394-D02,Psychoda alternata,Psilopa singaporensis
BIOUG78025-A04,psychJanzen11 Malaise7732,psychJanzen08 Malaise9190
BIOUG67121-F02,Cosmosciara sp. SAEVG Morph0042,Cosmosciara perniciosa
BIOUG82002-H05,Phoebis Malaise2599,cramMalaise9483 Malaise9483
BIOUG74598-A06,Dolichogenidea Rodriguez144,Pimpla Malaise8846
BIOUG79295-H10,Epuraea ocularis,Hermetia illucens
BIOUG66406-G08,Leiophron Malaise7707,Leiophron Malaise8494
BIOUG82005-F01,Mimophobetron pyropsalis,gelJanzen01 Janzen1159
BIOUG79911-A02,Megaselia steptoeae,Megaselia involuta
BIOUG66314-B06,Musca crassirostris,Musca tempestiva
BIOUG66799-D03,Alloxysta brevis,Alloxysta arcuata
BIOUG78282-D10,Dinotrema Malaise2655,Dinotrema Malaise0500
BIOUG66088-G10,Coenosia morrisoni,Coenosia conforma
BIOUG75797-C08,Rhopalosiphoninus latysiphon,Aphis nerii
BIOUG75813-C09,Phytomyptera Malaise5935,Phytomyptera Janzen2769
BIOUG79238-E02,Lutzomyia aclydifera,Nyssomyia trapidoi
BIOUG79428-A06,Rhopalosiphum padi,Phylloxera coccinea
BIOUG65799-A04,Glyphidocera BioLep192,autoBioLep1 BioLep193
BIOUG74559-B02,Sitobion avenae,Nasonovia castelleiae
BIOUG74795-B06,Psychoda alternata,Clogmia albipunctata
BIOUG74683-G10,Hygrotus novemlineatus,Baetis hudsonicus
BIOUG75899-C04,Psychoda alternata,Clogmia albipunctata
BIOUG74429-C05,Psychoda alternata,Clogmia albipunctata
BIOUG78182-E08,Ctenosciara hyalipennis,Bradysia scabricornis
BIOUG78282-H01,Dinotrema Malaise6952,Dinotrema Malaise1252
BIOUG72927-F06,Paratanytarsus natvigi,Cricotopus fuscus
BIOUG78283-C12,Plectiscus Malaise1594,Plectiscus Malaise5795
BIOUG75126-D07,Melipotis januaris,Melipotis fasciolarisDHJ02
BIOUG74619-C10,Cratyna cryptospina,Cratyna falcata
BIOUG65749-C11,Lixophaga Malaise9241,Lixophaga Janzen1036
BIOUG74895-D12,Phytomyptera Malaise5935,Phytomyptera Malaise6385
BIOUG66675-G03,Corticarina cavicollis,Cortinicara gibbosa
BIOUG66247-B08,Lycoriella sativae,Camptochaeta hirtula
BIOUG66334-A05,Musca confiscata,Musca tempestiva
BIOUG78182-F07,Ctenosciara hyalipennis,Bradysia scabricornis
BIOUG66089-D06,Paraphaenocladius impensus,Paraphaenocladius brevinervis
BIOUG78914-G12,Psychoda alternata,Clogmia albipunctata
BIOUG66354-G09,Psychoda alternata,Forcipomyia sp. DB 11420
BIOUG68188-C08,Coenosia attenuata,Coenosia transiens
BIOUG79697-F03,Cosmopterix Malaise1744,Cosmopterix crassicervicella
BIOUG77836-H06,Dinotrema Malaise3260,Dinotrema Malaise1186
BIOUG66658-F07,Singhiella simplex,Siphoninus phillyreae
BIOUG78777-D09,Casinaria Malaise6162,Xiphosomella Malaise7341
BIOUG75610-B12,Coenosia morrisoni,Coenosia means
BIOUG66352-G12,Adia cinerella,Limnophora groenlandica
BIOUG66339-H10,Trichogramma chilonis,Trichogramma achaeae
BIOUG74867-D07,Glyphidocera fidem,Glyphidocera sollertiae
BIOUG76870-C01,Macgrathphora caribbea,Macgrathphora longifurca
BIOUG75525-B08,Chilocyrtus Malaise1483,Orthocentrus Malaise3997
BIOUG66091-F08,Paraphaenocladius impensus,Paraphaenocladius brevinervis
BIOUG66315-B07,Musca confiscata,Ceromya Malaise2738
